INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Oct-2016,0,XX,19271.75,19447,19100,19402.75,19402.75,89478,692692.36,1950040,72040,30-SEP-2016,
FUTIDX,BANKNIFTY,24-Nov-2016,0,XX,19401,19554.85,19244.7,19518.55,19518.55,1798,13995.23,57760,16280,30-SEP-2016,
FUTIDX,BANKNIFTY,29-Dec-2016,0,XX,19377.35,19638.2,19377.35,19604.2,19604.2,132,1031.56,3520,3520,30-SEP-2016,
FUTIVX,INDIAVIX,04-Oct-2016,0,XX,0,0,0,1531.5,1715.25,0,0,0,0,30-SEP-2016,
FUTIVX,INDIAVIX,10-Oct-2016,0,XX,0,0,0,1491,1712.5,0,0,0,0,30-SEP-2016,
FUTIVX,INDIAVIX,18-Oct-2016,0,XX,0,0,0,1444,1696,0,0,0,0,30-SEP-2016,
FUTSTK,ABIRLANUVO,27-Oct-2016,0,XX,1344.95,1378,1343.4,1372.25,1372.25,2022,20696.43,4456500,255000,30-SEP-2016,
FUTSTK,ABIRLANUVO,24-Nov-2016,0,XX,1365,1365,1365,1365,1377.6,1,10.23,8250,750,30-SEP-2016,
FUTSTK,ABIRLANUVO,29-Dec-2016,0,XX,0,0,0,1349.4,1386.7,0,0,0,0,30-SEP-2016,
FUTSTK,ACC,27-Oct-2016,0,XX,1590.2,1614.7,1588,1603.65,1603.65,1643,10524.95,1290000,28800,30-SEP-2016,
FUTSTK,ACC,24-Nov-2016,0,XX,1595.05,1619.05,1595.05,1614,1614,33,212.59,7600,800,30-SEP-2016,
FUTSTK,ACC,29-Dec-2016,0,XX,1620,1620,1620,1620,1627.25,2,12.96,800,800,30-SEP-2016,
FUTSTK,ADANIENT,27-Oct-2016,0,XX,64.5,66.7,63.55,66.1,66.1,814,4263.76,17848000,80000,30-SEP-2016,
FUTSTK,ADANIENT,24-Nov-2016,0,XX,63.75,66.45,63.75,66.35,66.4,7,36.69,96000,24000,30-SEP-2016,
FUTSTK,ADANIENT,29-Dec-2016,0,XX,0,0,0,66.05,66.85,0,0,0,0,30-SEP-2016,
FUTSTK,ADANIPORTS,27-Oct-2016,0,XX,254.85,261.5,251.3,257.75,257.75,3823,24418.1,15375000,662500,30-SEP-2016,
FUTSTK,ADANIPORTS,24-Nov-2016,0,XX,255.15,259.45,254,259.1,259.1,15,96.22,50000,7500,30-SEP-2016,
FUTSTK,ADANIPORTS,29-Dec-2016,0,XX,0,0,0,261.25,261.15,0,0,0,0,30-SEP-2016,
FUTSTK,ADANIPOWER,27-Oct-2016,0,XX,25.15,25.4,24.75,25.1,25.1,913,4587.45,109240000,4260000,30-SEP-2016,
FUTSTK,ADANIPOWER,24-Nov-2016,0,XX,25.55,25.55,25.1,25.35,25.2,21,106.2,620000,140000,30-SEP-2016,
FUTSTK,ADANIPOWER,29-Dec-2016,0,XX,0,0,0,25.5,25.35,0,0,0,0,30-SEP-2016,
FUTSTK,ALBK,27-Oct-2016,0,XX,76.2,77.85,75,77.35,77.35,2214,17010.2,13770000,820000,30-SEP-2016,
FUTSTK,ALBK,24-Nov-2016,0,XX,75.15,77.9,75.15,77.75,77.75,29,222.72,380000,70000,30-SEP-2016,
FUTSTK,ALBK,29-Dec-2016,0,XX,0,0,0,77.2,78.2,0,0,0,0,30-SEP-2016,
