SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
3M India Limited,BIRLA3M,3MINDIA,15-Jun-04
A2Z INFRA ENGINEERING LIMITED,A2ZMES,A2ZINFRA,31-Dec-14
AGC Networks Limited,TATATELECM,AVAYAGCL,01-Nov-04
AGC Networks Limited,AVAYAGCL,AGCNET,08-Jun-10
AMD Industries Limited,AMDMET,AMDIND,25-Feb-08
ANG Industries Limited,ANGAUTO,ANGIND,16-Jun-10
ATN International Limited,ARIHANTCRE,ATNINT,17-Sep-03
AXISCADES Engineering Technologies Limited,IT&T,AXIS-IT&T,16-Aug-05
AXISCADES Engineering Technologies Limited,AXIS-IT&T,AXISCADES,08-Oct-14
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-Feb-16
Aban Offshore Limited,ABANLLOYD,ABANLOYD,17-Jan-05
Aban Offshore Limited,ABANLOYD,ABAN,18-Aug-06
Abhishek Corporation Limited,AML,ABHISHEK,26-Jun-08
Accelya Kale Solutions Limited,KALECONSUL,ACCELYA,06-Sep-12
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-Sep-06
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-Jan-12
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,05-Dec-05
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-Mar-09
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-Jan-16
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-Sep-09
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-Dec-05
Ador Welding Limited,ADVANIORLI,ADORWELD,27-Sep-04
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-Jun-07
Aftek Limited,AFTEKINFO,AFTEK,27-Nov-06
Agro Tech Foods Limited,ITCAGRO,ATFL,31-Dec-02
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-Jun-09
